================================================================
  SUPPORTED-QUERY (DEVDOC) AUDIT -- CA_VENTURA_COUNTY
================================================================

Extract STATUS: PROVISIONAL  (PROVISIONAL -- mismatches INFO until devdoc sign-off)

[PASS] combo NLTS.RQ.P: 'Vehicle Registration | LicensePlateNumber' is devdoc-supported
[PASS] combo NLTS.RQ.V: 'Vehicle Registration | VehicleIdentificationNumber' is devdoc-supported
[PASS] combo IN.VP: 'Vehicle Registration | Name' is devdoc-supported
[PASS] combo IA.QV: 'Vehicle Registration | LicensePlateNumber' is devdoc-supported
[PASS] combo IA.QVK: 'Vehicle Registration | VehicleIdentificationNumber' is devdoc-supported
[PASS] combo IN.L1: 'Driver License | Name' is devdoc-supported
[PASS] combo NLTS.DQ: 'Driver License | OperatorLicenseNumber' is devdoc-supported
[PASS] combo ID.L1: 'Driver License | OperatorLicenseNumber' is devdoc-supported
[PASS] combo NLTS.KQ.N: 'Driver History | Name' is devdoc-supported
[PASS] combo IN.B2: 'Driver History | Name' is devdoc-supported
[PASS] combo NLTS.KQ.O: 'Driver History | OperatorLicenseNumber' is devdoc-supported
[PASS] combo ID.B2: 'Driver History | OperatorLicenseNumber' is devdoc-supported
[PASS] combo IG.QGH: 'Firearm | Name' is devdoc-supported
[PASS] combo IG.QGB: 'Firearm | GunSerialNumber' is devdoc-supported
[PASS] combo IP.QA.S: 'Article | ArticleSerialNumber' is devdoc-supported
[PASS] combo IP.QA.O: 'Article | OwnerAppliedNumber' is devdoc-supported
[PASS] combo NLTS.BQ.N: 'Boat | Name' is devdoc-supported
[PASS] combo NLTS.BQ.H: 'Boat | BoatHullIdNumber' is devdoc-supported
[PASS] combo NLTS.BQ.R: 'Boat | RegistrationNumber' is devdoc-supported
[PASS] combo IA.QB.H: 'Boat | BoatHullIdNumber' is devdoc-supported
[PASS] combo IA.QB.O: 'Boat | OwnerAppliedNumber' is devdoc-supported
[PASS] combo IA.QB.R: 'Boat | RegistrationNumber' is devdoc-supported

RESULTS: 22 PASS / 0 FAIL / 0 WARN (0 INFO)
