STATUS: CONFIRMED (devdoc-verified 2026-07-13)
# FL_FCIC supported queries -- DERIVED FROM JSON COMBOS, then CONFIRMED against source/FL_FCIC.pdf 'Basic Queries Supported' (6 built; ImageQuery user-scoped skip, QV/QW CommSys auto-sends -- see ACCEPTED_DIVERGENCES).
# ACTION: verify this list against the provider devdoc 'Basic Queries Supported'.
#   - remove any line the devdoc does NOT authorize
#   - add any devdoc-supported query intentionally not built (document as a skip)
# Then change STATUS to CONFIRMED to turn this into a hard gate.
# Format: <QueryLabel> | <PrimaryFieldReference>

Article | ArticleSerialNumber
Article | NCICNumber
Article | OwnerAppliedNumber
Article | ProcessControlNumber
Boat | BoatHullIdNumber
Boat | CoastGuardDocumentNumber
Boat | DecalNumber
Boat | Name
Boat | NCICNumber
Boat | ProcessControlNumber
Boat | RegistrationNumber
Boat | TitleLienInformation
Driver History | Name
Driver History | OperatorLicenseNumberDH
Driver License | Name
Driver License | OperatorLicenseNumber
Firearm | GunSerialNumber
Firearm | NCICNumber
Firearm | ProcessControlNumber
Vehicle Registration | DecalNumber
Vehicle Registration | LicensePlateNumber
Vehicle Registration | TitleLienInformation
Vehicle Registration | VehicleIdentificationNumber
